단지명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,위도,경도
남산타운,84.88,202202,8,"30,000",75,4,37.5471667734011,127.005677166122
남산타운,114.88,202202,10,"65,000",90,17,37.5471667734011,127.005677166122
남산타운,59.94,202202,11,"5,000",160,16,37.5471667734011,127.005677166122
남산타운,59.94,202202,12,"9,000",96,17,37.5471667734011,127.005677166122
남산타운,84.88,202202,14,"10,000",157,6,37.5471667734011,127.005677166122
남산타운,59.94,202202,17,"5,000",160,15,37.5471667734011,127.005677166122
남산타운,59.94,202202,17,"4,000",160,7,37.5471667734011,127.005677166122
남산타운,59.94,202202,19,"35,000",75,13,37.5471667734011,127.005677166122
남산타운,59.94,202202,26,"50,000",25,1,37.5471667734011,127.005677166122
남산타운,114.88,202202,28,"61,000",6,11,37.5471667734011,127.005677166122
남산타운,59.94,202203,1,"2,000",142,4,37.5471667734011,127.005677166122
남산타운,84.88,202203,2,"20,000",180,6,37.5471667734011,127.005677166122
남산타운,59.94,202203,8,"3,000",137,13,37.5471667734011,127.005677166122
남산타운,59.94,202203,9,"4,000",127,15,37.5471667734011,127.005677166122
남산타운,114.88,202203,12,"35,000",140,2,37.5471667734011,127.005677166122
남산타운,114.88,202203,12,"35,000",140,2,37.5471667734011,127.005677166122
남산타운,59.94,202203,14,"3,000",160,18,37.5471667734011,127.005677166122
남산타운,114.88,202203,15,"73,000",35,13,37.5471667734011,127.005677166122
남산타운,114.88,202203,17,"65,000",70,2,37.5471667734011,127.005677166122
남산타운,114.88,202203,19,"35,000",185,16,37.5471667734011,127.005677166122
남산타운,59.94,202203,19,"10,000",85,15,37.5471667734011,127.005677166122
남산타운,114.88,202203,19,"35,000",185,16,37.5471667734011,127.005677166122
남산타운,114.88,202203,22,"5,000",240,8,37.5471667734011,127.005677166122
남산타운,114.88,202203,23,"65,000",100,2,37.5471667734011,127.005677166122
남산타운,59.94,202203,24,"3,000",135,9,37.5471667734011,127.005677166122
남산타운,59.94,202203,24,"10,000",140,18,37.5471667734011,127.005677166122
남산타운,84.88,202203,24,"10,000",270,3,37.5471667734011,127.005677166122
남산타운,114.88,202203,25,"10,000",360,10,37.5471667734011,127.005677166122
남산타운,114.88,202203,25,"10,000",360,10,37.5471667734011,127.005677166122
남산타운,84.88,202203,26,"5,000",150,14,37.5471667734011,127.005677166122
남산타운,84.88,202203,28,"60,000",50,12,37.5471667734011,127.005677166122
남산타운,84.88,202203,28,"55,000",80,3,37.5471667734011,127.005677166122
남산타운,84.88,202203,28,"5,000",200,4,37.5471667734011,127.005677166122
남산타운,84.88,202203,30,"40,000",50,14,37.5471667734011,127.005677166122
남산타운,84.88,202203,30,"10,000",127,8,37.5471667734011,127.005677166122
남산타운,59.94,202204,2,"15,000",76,10,37.5471667734011,127.005677166122
남산타운,114.88,202204,2,"23,000",119,17,37.5471667734011,127.005677166122
남산타운,59.94,202204,10,"5,000",150,7,37.5471667734011,127.005677166122
남산타운,59.94,202204,11,"50,000",30,8,37.5471667734011,127.005677166122
남산타운,114.88,202204,11,"20,000",185,17,37.5471667734011,127.005677166122
남산타운,59.94,202204,12,"15,000",140,5,37.5471667734011,127.005677166122
남산타운,59.94,202204,12,"10,000",106,14,37.5471667734011,127.005677166122
남산타운,59.94,202204,16,"10,000",91,10,37.5471667734011,127.005677166122
남산타운,59.94,202204,16,"10,000",96,6,37.5471667734011,127.005677166122
남산타운,59.94,202204,19,"35,000",60,9,37.5471667734011,127.005677166122
남산타운,59.94,202204,20,"10,000",130,18,37.5471667734011,127.005677166122
남산타운,84.88,202204,23,"5,000",147,1,37.5471667734011,127.005677166122
남산타운,84.88,202204,25,"5,250",173,15,37.5471667734011,127.005677166122
남산타운,84.88,202204,27,"60,000",50,1,37.5471667734011,127.005677166122
남산타운,84.88,202204,28,"46,000",70,14,37.5471667734011,127.005677166122
남산타운,114.88,202205,3,"5,000",300,7,37.5471667734011,127.005677166122
남산타운,84.88,202205,5,"4,000",160,9,37.5471667734011,127.005677166122
남산타운,59.94,202205,10,"3,000",137,14,37.5471667734011,127.005677166122
남산타운,84.88,202205,10,"40,000",59,7,37.5471667734011,127.005677166122
남산타운,59.94,202205,11,"3,000",150,3,37.5471667734011,127.005677166122
남산타운,114.88,202205,12,"10,000",280,8,37.5471667734011,127.005677166122
남산타운,59.94,202205,15,"5,000",116,9,37.5471667734011,127.005677166122
남산타운,59.94,202205,17,"10,000",128,11,37.5471667734011,127.005677166122
남산타운,84.88,202205,17,"50,000",110,18,37.5471667734011,127.005677166122
남산타운,84.88,202205,17,"50,000",130,7,37.5471667734011,127.005677166122
남산타운,59.94,202205,17,"10,000",119,11,37.5471667734011,127.005677166122
남산타운,84.88,202205,19,"7,500",167,7,37.5471667734011,127.005677166122
남산타운,84.88,202205,21,"5,000",158,5,37.5471667734011,127.005677166122
남산타운,59.94,202205,21,"42,000",25,9,37.5471667734011,127.005677166122
남산타운,59.94,202205,21,"15,000",71,1,37.5471667734011,127.005677166122
남산타운,114.88,202205,25,"23,000",130,15,37.5471667734011,127.005677166122
남산타운,84.88,202205,25,"5,000",200,18,37.5471667734011,127.005677166122
남산타운,84.88,202206,2,"5,000",163,18,37.5471667734011,127.005677166122
남산타운,84.88,202206,3,"50,000",100,17,37.5471667734011,127.005677166122
남산타운,59.94,202206,3,"10,000",150,6,37.5471667734011,127.005677166122
남산타운,59.94,202206,8,"3,000",160,1,37.5471667734011,127.005677166122
남산타운,59.94,202206,10,"3,000",137,4,37.5471667734011,127.005677166122
남산타운,59.94,202206,10,"5,000",170,8,37.5471667734011,127.005677166122
남산타운,84.88,202206,11,"5,000",158,9,37.5471667734011,127.005677166122
남산타운,84.88,202206,11,"35,000",130,15,37.5471667734011,127.005677166122
남산타운,59.94,202206,18,"3,150",137,11,37.5471667734011,127.005677166122
남산타운,114.88,202206,18,"47,320",70,9,37.5471667734011,127.005677166122
남산타운,59.94,202206,21,"46,000",20,7,37.5471667734011,127.005677166122
남산타운,84.88,202206,24,"5,000",158,12,37.5471667734011,127.005677166122
남산타운,84.88,202206,29,"5,000",170,15,37.5471667734011,127.005677166122
남산타운,59.94,202207,4,"5,000",170,17,37.5471667734011,127.005677166122
남산타운,84.88,202207,4,"10,000",230,15,37.5471667734011,127.005677166122
남산타운,59.94,202207,7,"6,000",116,7,37.5471667734011,127.005677166122
남산타운,84.88,202207,7,"5,000",210,4,37.5471667734011,127.005677166122
남산타운,84.88,202207,9,"4,000",147,16,37.5471667734011,127.005677166122
남산타운,84.88,202207,9,"54,000",100,12,37.5471667734011,127.005677166122
남산타운,84.88,202207,12,"5,000",168,3,37.5471667734011,127.005677166122
남산타운,84.88,202207,12,"7,800",160,11,37.5471667734011,127.005677166122
남산타운,59.94,202207,12,"40,000",70,3,37.5471667734011,127.005677166122
남산타운,84.88,202207,12,"7,800",160,11,37.5471667734011,127.005677166122
남산타운,114.88,202207,19,"20,000",280,5,37.5471667734011,127.005677166122
남산타운,84.88,202207,19,"5,000",158,11,37.5471667734011,127.005677166122
남산타운,114.88,202207,20,"50,000",130,9,37.5471667734011,127.005677166122
남산타운,84.88,202207,23,"10,000",200,2,37.5471667734011,127.005677166122
남산타운,84.88,202207,23,"10,000",200,2,37.5471667734011,127.005677166122
남산타운,114.88,202207,25,"3,000",221,14,37.5471667734011,127.005677166122
남산타운,84.88,202207,29,"30,000",150,11,37.5471667734011,127.005677166122
남산타운,84.88,202208,5,"20,000",140,7,37.5471667734011,127.005677166122
남산타운,84.88,202208,12,"3,000",170,18,37.5471667734011,127.005677166122
남산타운,114.88,202208,12,"50,000",61,17,37.5471667734011,127.005677166122
남산타운,84.88,202208,16,"60,000",90,16,37.5471667734011,127.005677166122
남산타운,59.94,202208,17,"3,000",160,5,37.5471667734011,127.005677166122
남산타운,84.88,202208,22,"5,000",195,12,37.5471667734011,127.005677166122
남산타운,114.88,202208,25,"5,250",242,17,37.5471667734011,127.005677166122
남산타운,59.94,202208,26,"5,000",170,5,37.5471667734011,127.005677166122
남산타운,59.94,202208,29,"30,000",110,9,37.5471667734011,127.005677166122
남산타운,84.88,202208,30,"5,000",140,18,37.5471667734011,127.005677166122
남산타운,59.94,202208,31,"10,000",175,7,37.5471667734011,127.005677166122
남산타운,114.88,202209,2,"50,000",175,15,37.5471667734011,127.005677166122
남산타운,114.88,202209,3,"50,000",150,3,37.5471667734011,127.005677166122
남산타운,59.94,202209,3,"3,000",160,5,37.5471667734011,127.005677166122
남산타운,59.94,202209,5,"30,000",100,11,37.5471667734011,127.005677166122
남산타운,84.88,202209,10,"7,000",166,13,37.5471667734011,127.005677166122
남산타운,84.88,202209,13,"5,000",140,1,37.5471667734011,127.005677166122
남산타운,84.88,202209,14,"30,000",135,10,37.5471667734011,127.005677166122
남산타운,84.88,202209,15,"10,000",235,13,37.5471667734011,127.005677166122
남산타운,59.94,202209,15,"10,000",107,15,37.5471667734011,127.005677166122
남산타운,114.88,202209,16,"50,000",170,6,37.5471667734011,127.005677166122
남산타운,84.88,202209,19,"10,000",210,13,37.5471667734011,127.005677166122
남산타운,84.88,202209,19,"10,000",210,13,37.5471667734011,127.005677166122
남산타운,59.94,202209,21,"3,000",137,15,37.5471667734011,127.005677166122
남산타운,84.88,202209,21,"5,000",190,2,37.5471667734011,127.005677166122
남산타운,114.88,202209,24,"4,000",330,2,37.5471667734011,127.005677166122
남산타운,59.94,202209,25,"33,000",37,9,37.5471667734011,127.005677166122
남산타운,84.88,202209,27,"10,000",191,12,37.5471667734011,127.005677166122
남산타운,84.88,202209,29,"51,450",60,8,37.5471667734011,127.005677166122
남산타운,59.94,202209,29,"10,000",180,6,37.5471667734011,127.005677166122
남산타운,84.88,202210,1,"30,000",160,17,37.5471667734011,127.005677166122
남산타운,84.88,202210,4,"56,700",42,14,37.5471667734011,127.005677166122
남산타운,59.94,202210,5,"10,000",160,12,37.5471667734011,127.005677166122
남산타운,84.88,202210,8,"5,000",210,18,37.5471667734011,127.005677166122
남산타운,59.94,202210,8,"15,000",90,11,37.5471667734011,127.005677166122
남산타운,59.94,202210,10,"25,000",92,3,37.5471667734011,127.005677166122
남산타운,59.94,202210,13,"3,000",170,4,37.5471667734011,127.005677166122
남산타운,59.94,202210,14,"3,000",135,3,37.5471667734011,127.005677166122
