시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202202,22,"87,000",0,12,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9808,202202,23,"61,000",0,19,2017,만리재로 175,-,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.9707,202202,24,"47,000",55,3,2017,만리재로 175,202203~202403,갱신,-,"47,000",40
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,25,"95,000",0,7,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,25,"71,400",0,2,2017,만리재로 175,202203~202403,갱신,사용,"68,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202202,26,"80,800",0,25,2017,만리재로 175,202203~202403,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9707,202202,26,"80,000",0,18,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202202,26,"10,000",270,17,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,72.9965,202202,28,"50,000",100,6,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,1,"20,000",170,4,2017,만리재로 175,202203~202303,갱신,-,"20,000",100
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202203,9,"65,100",0,14,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202203,12,"78,000",0,6,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202203,12,"93,000",0,12,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202203,12,"78,000",0,6,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202203,12,"93,000",0,12,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,13,"5,000",184,9,2017,만리재로 175,-,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,18,"30,000",170,3,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202203,18,"82,900",0,3,2017,만리재로 175,202203~202403,갱신,사용,"79,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,19,"30,000",150,23,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202203,19,"78,750",0,19,2017,만리재로 175,202204~202404,갱신,사용,"75,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202203,19,"68,000",0,16,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202203,19,"60,000",0,12,2017,만리재로 175,202204~202404,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,72.9733,202203,20,"45,000",150,11,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,72.9733,202203,20,"45,000",150,11,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202203,21,"20,000",250,4,2017,만리재로 175,202204~202601,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,22,"5,000",270,4,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202203,26,"60,000",80,9,2017,만리재로 175,202204~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9791,202203,26,"93,000",0,3,2017,만리재로 175,202206~202406,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9791,202204,4,"95,000",0,14,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202204,6,"95,000",0,20,2017,만리재로 175,202204~202210,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202204,9,"10,000",250,17,2017,만리재로 175,202206~202406,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202204,12,"81,900",0,21,2017,만리재로 175,202206~202406,갱신,사용,"78,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202204,13,"1,500",360,24,2017,만리재로 175,-,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9791,202204,16,"91,000",0,15,2017,만리재로 175,202208~202309,갱신,-,"76,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.8899,202204,18,"75,000",0,3,2017,만리재로 175,202206~202406,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202204,22,"5,000",210,16,2017,만리재로 175,202204~202304,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202204,23,"80,000",0,23,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202204,23,"60,000",70,8,2017,만리재로 175,202206~202406,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202204,23,"45,000",175,2,2017,만리재로 175,202205~202405,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9808,202204,30,"75,000",0,23,2017,만리재로 175,202208~202408,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202205,11,"10,000",350,8,2017,만리재로 175,202206~202406,신규,-,0,0
