단지명,전용면적,계약년도,계약일,위도,경도,지하철거리,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,일일가격,층_-1,층_1,층_2,층_3,층_4,층_5,층_6,층_7,층_8,층_9,층_10,층_11,층_12,층_13,층_14,층_15,층_16,층_17,층_18,층_19,층_20,층_21,층_22,층_23,층_24,층_25,층_26,층_27,층_28,층_29,층_30,층_31,층_32,층_33,층_34,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
신당아르브,18.08,2022-06-01,30,37.5649742650674,127.023319283742,335.5910715414943,2022/06/30,1292.9,8,0,1,1,24,8,4,23,71.16580967699376,신당초등학교앞,11.076388888888888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
롯데캐슬,84.92,2022-07-01,27,37.57081054646992,127.021463886656,533.615752338311,2022/07/27,1310.0,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,36.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
롯데캐슬,59.94,2022-05-01,7,37.57081054646992,127.021463886656,533.615752338311,2022/05/07,1261.8,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,29.097222222222225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
청구e편한세상,84.95,2022-05-01,28,37.5599601596254,127.015451019186,148.0705761514984,2022/05/28,1266.4,4,1,1,0,63,20,29,31,70.23484133934264,청구역,22.055555555555557,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LIG서울역리가,84.9846,2022-01-01,15,37.5562729792512,126.966882959987,421.6932281404668,2022/01/15,1188.2,7,3,15,0,74,30,74,4,168.61624434442572,서울의료보건고등학교.서울역서부,21.180555555555557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
장충,31.24,2022-06-01,17,37.5592564889831,127.001675390514,347.6796584148718,2022/06/17,1284.1,16,8,15,5,99,33,57,28,100.4579538787936,동국대입구앰배서더호텔,11.743055555555555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,84.87999999999998,2022-07-01,9,37.5471667734011,127.005677166122,153.7732236879109,2022/07/09,1302.7,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,33.541666666666664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
서울역센트럴자이,84.9918,2022-01-01,19,37.5547800420518,126.964458224138,546.5467807347819,2022/01/19,1188.9,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,9.20138888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
남산타운,59.94,2022-02-01,19,37.5471667734011,127.005677166122,153.7732236879109,2022/02/19,1197.1,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,18.57638888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,84.87999999999998,2022-10-01,17,37.5471667734011,127.005677166122,153.7732236879109,2022/10/17,1428.9,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
