단지명,전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),금리,보증금고려월세
남산타운,84.87999999999998,3000.0,195,17,버티고개역,153.7732236879109,27,1188.2,30,13,28,6,38.78579684636771,1.25,198.125
청구e편한세상,84.95999999999998,70000.0,75,3,청구역,148.0705761514984,96,1188.2,63,20,29,31,70.23484133934264,1.25,147.91666666666669
남산타운,84.87999999999998,20000.0,170,11,버티고개역,153.7732236879109,27,1188.2,30,13,28,6,38.78579684636771,1.25,190.83333333333331
신신(2차),59.04,7000.0,50,-1,버티고개역,369.6220653838971,67,1188.2,44,20,39,6,211.0081330867734,1.25,57.29166666666666
래미안하이베르,84.98,40000.0,68,5,신당역,524.9534945478343,88,1188.2,44,15,23,27,264.0077328980435,1.25,109.66666666666666
남산롯데캐슬아이리스,44.99,35000.0,100,23,회현(남대문시장)역,310.7749620679906,333,1188.2,163,48,118,11,85.65990388873333,1.25,136.45833333333334
약수하이츠,32.67,2519.0,5,12,신금호역,358.1312622656157,4,1187.6,47,17,24,13,392.9343565790587,1.25,7.623958333333333
삼정아트테라스정동,32.0134,30000.0,45,2,시청역,388.9620632501068,496,1187.6,145,42,99,11,329.724688403661,1.25,76.25
(73-1),18.35,1000.0,50,9,신당역,462.5655163555446,106,1187.6,27,7,5,23,104.2561319628623,1.25,51.04166666666666
진양상가,71.93,500.0,45,9,충무로역,197.7903468724876,213,1187.6,129,37,71,25,65.48284525938637,1.25,45.520833333333336
래미안하이베르,84.84999999999998,7000.0,160,14,신당역,524.9534945478343,88,1187.6,44,15,23,27,264.0077328980435,1.25,167.29166666666666
서울역센트럴자이,84.9918,1000.0,60,12,충정로(경기대입구)역,546.5467807347819,101,1187.6,47,20,55,4,161.22384425777142,1.25,61.04166666666666
충무로헤센스마트,19.76,1000.0,79,4,충무로역,399.4739356787322,226,1187.6,117,36,52,32,166.95499565803877,1.25,80.04166666666667
충무로헤센스마트,19.76,1000.0,80,4,충무로역,399.4739356787322,226,1187.6,117,36,52,32,166.95499565803877,1.25,81.04166666666667
남산타운(임대),32.76,2955.0,6,18,버티고개역,153.7732236879109,27,1187.6,30,13,28,6,38.78579684636771,1.25,9.078125
덕수궁롯데캐슬,116.5445,100000.0,120,17,서대문역,377.9433754112008,173,1187.6,140,40,99,9,109.10882594405582,1.25,224.16666666666669
동대문솔하임,17.67,1000.0,85,20,신당역,174.3397765958725,165,1192.3,42,14,17,30,87.4723582497348,1.25,86.04166666666667
리마크빌동대문,29.63,1500.0,95,12,신당역,58.061356897640906,140,1192.3,43,14,17,31,187.3336720760136,1.25,96.5625
이지마루오장,14.49,2000.0,60,10,동대문역사문화공원역,301.609724702947,262,1192.3,91,35,49,30,90.55520884320347,1.25,62.083333333333336
신당푸르지오,59.85,20000.0,100,11,청구역,453.60316695705785,100,1192.3,55,15,24,29,62.12000897583936,1.25,120.83333333333331
서울역센트럴자이(임대),47.4739,4127.0,18,2,충정로(경기대입구)역,570.352209953056,100,1192.3,39,20,55,4,201.7103826031684,1.25,22.29895833333333
더플레이스충정로,17.04,1000.0,70,6,충정로(경기대입구)역,169.5458754048524,129,1192.3,90,31,86,5,152.21828755716365,1.25,71.04166666666667
롯데캐슬,84.89,40000.0,130,17,신설동역,533.615752338311,40,1192.3,21,7,4,23,99.42774589932525,1.25,171.66666666666666
남산롯데캐슬아이리스,113.46,20000.0,213,11,회현(남대문시장)역,310.7749620679906,333,1192.3,163,48,118,11,85.65990388873333,1.25,233.83333333333331
롯데캐슬,84.97,3000.0,180,18,신설동역,533.615752338311,40,1192.3,21,7,4,23,99.42774589932525,1.25,183.125
서울역센트럴자이,84.9918,5000.0,50,13,충정로(경기대입구)역,546.5467807347819,101,1188.9,47,20,55,4,161.22384425777142,1.25,55.208333333333336
롯데캐슬,59.91,20000.0,75,26,신설동역,533.615752338311,40,1188.9,21,7,4,23,99.42774589932525,1.25,95.83333333333331
래미안하이베르,59.95,50000.0,50,13,신당역,524.9534945478343,88,1188.9,44,15,23,27,264.0077328980435,1.25,102.08333333333334
(73-1),18.35,1000.0,50,9,신당역,462.5655163555446,106,1191.8,27,7,5,23,104.2561319628623,1.25,51.04166666666666
충무로헤센스마트,21.04,1000.0,90,6,충무로역,399.4739356787322,226,1191.8,117,36,52,32,166.95499565803877,1.25,91.04166666666669
(73-1),19.15,1000.0,55,6,신당역,462.5655163555446,106,1191.8,27,7,5,23,104.2561319628623,1.25,56.04166666666666
서제빌딩,24.2,1000.0,65,5,동대문역사문화공원역,356.66310340976054,272,1191.8,91,35,49,30,133.71080905767624,1.25,66.04166666666667
남산타운,84.87999999999998,20000.0,140,10,버티고개역,153.7732236879109,27,1191.8,30,13,28,6,38.78579684636771,1.25,160.83333333333334
청구e편한세상,84.95,65000.0,27,4,청구역,148.0705761514984,96,1190.4,63,20,29,31,70.23484133934264,1.25,94.70833333333331
청구e편한세상,118.47,10000.0,300,11,청구역,148.0705761514984,96,1190.4,63,20,29,31,70.23484133934264,1.25,310.4166666666667
약수하이츠,114.92,60000.0,100,1,신금호역,358.1312622656157,4,1190.4,47,17,24,13,392.9343565790587,1.25,162.5
남산트라팰리스,116.11,1000.0,347,26,서울역,300.40511873242406,54,1190.4,115,37,95,8,83.49973589710727,1.25,348.0416666666667
