단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
남산타운,84.87999999999998,202201,15,3000.0,195,17,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/15,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
청구e편한세상,84.95999999999998,202201,15,70000.0,75,3,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/15,1188.2,4,1,1,0,63,20,29,31,70.23484133934264,청구역
남산타운,84.87999999999998,202201,15,20000.0,170,11,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/15,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
신신(2차),59.04,202201,15,7000.0,50,-1,37.55100567930889,127.005219924553,버티고개역,369.6220653838971,67,2022/01/15,1188.2,10,2,0,1,44,20,39,6,211.0081330867734,송도병원앞
래미안하이베르,84.98,202201,15,40000.0,68,5,37.5610379790132,127.020985832433,신당역,524.9534945478343,88,2022/01/15,1188.2,7,0,1,0,44,15,23,27,264.0077328980435,동화동
남산롯데캐슬아이리스,44.99,202201,16,35000.0,100,23,37.5582247092319,126.981744459746,회현(남대문시장)역,310.7749620679906,333,2022/01/16,1188.2,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널
약수하이츠,32.67,202201,17,2519.0,5,12,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/17,1187.6,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
삼정아트테라스정동,32.0134,202201,17,30000.0,45,2,37.566587014775294,126.973133171996,시청역,388.9620632501068,496,2022/01/17,1187.6,25,15,30,0,145,42,99,11,329.724688403661,시청앞.덕수궁
(73-1),18.35,202201,17,1000.0,50,9,37.569801530162714,127.019329304009,신당역,462.5655163555446,106,2022/01/17,1187.6,4,1,1,4,27,7,5,23,104.2561319628623,청계8가.영도교
진양상가,71.93,202201,17,500.0,45,9,37.5624227137843,126.995931151636,충무로역,197.7903468724876,213,2022/01/17,1187.6,22,6,12,1,129,37,71,25,65.48284525938637,충무로역8번출구.대한극장앞
래미안하이베르,84.84999999999998,202201,17,7000.0,160,14,37.5610379790132,127.020985832433,신당역,524.9534945478343,88,2022/01/17,1187.6,7,0,1,0,44,15,23,27,264.0077328980435,동화동
서울역센트럴자이,84.9918,202201,17,1000.0,60,12,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/17,1187.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
충무로헤센스마트,19.76,202201,17,1000.0,79,4,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/17,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가
충무로헤센스마트,19.76,202201,17,1000.0,80,4,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/17,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가
남산타운(임대),32.76,202201,17,2955.0,6,18,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/17,1187.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
덕수궁롯데캐슬,116.5445,202201,17,100000.0,120,17,37.5637084894676,126.970042986983,서대문역,377.9433754112008,173,2022/01/17,1187.6,16,14,29,0,140,40,99,9,109.10882594405582,경찰청.동북아역사재단
동대문솔하임,17.67,202201,18,1000.0,85,20,37.5677165362185,127.016348082451,신당역,174.3397765958725,165,2022/01/18,1192.3,8,4,1,11,42,14,17,30,87.4723582497348,성동공업고등학교(무궁화회관)
리마크빌동대문,29.63,202201,18,1500.0,95,12,37.565794853643695,127.016623843671,신당역,58.061356897640906,140,2022/01/18,1192.3,10,5,0,10,43,14,17,31,187.3336720760136,신당역.중앙시장앞
이지마루오장,14.49,202201,18,2000.0,60,10,37.5643884715851,127.00195688803,동대문역사문화공원역,301.609724702947,262,2022/01/18,1192.3,24,3,7,3,91,35,49,30,90.55520884320347,베이튼호텔
신당푸르지오,59.85,202201,18,20000.0,100,11,37.559864671246096,127.019034279491,청구역,453.60316695705785,100,2022/01/18,1192.3,2,0,1,0,55,15,24,29,62.12000897583936,동화동
서울역센트럴자이(임대),47.4739,202201,18,4127.0,18,2,37.5545760844191,126.963956968884,충정로(경기대입구)역,570.352209953056,100,2022/01/18,1192.3,1,2,3,0,39,20,55,4,201.7103826031684,손기정체육공원입구
더플레이스충정로,17.04,202201,18,1000.0,70,6,37.558980785321,126.966068233101,충정로(경기대입구)역,169.5458754048524,129,2022/01/18,1192.3,10,4,16,0,90,31,86,5,152.21828755716365,종근당.충정로역
롯데캐슬,84.89,202201,18,40000.0,130,17,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/18,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
남산롯데캐슬아이리스,113.46,202201,18,20000.0,213,11,37.5582247092319,126.981744459746,회현(남대문시장)역,310.7749620679906,333,2022/01/18,1192.3,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널
롯데캐슬,84.97,202201,18,3000.0,180,18,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/18,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
서울역센트럴자이,84.9918,202201,19,5000.0,50,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/19,1188.9,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
롯데캐슬,59.91,202201,19,20000.0,75,26,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/19,1188.9,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
