전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),보증금고려월세
14.49,2000.0,60,10,동대문역사문화공원역,301.609724702947,262,1192.3,24,3,7,3,91,35,49,30,90.55520884320347,62.083333333333336
59.85,20000.0,100,11,청구역,453.60316695705785,100,1192.3,2,0,1,0,55,15,24,29,62.12000897583936,120.83333333333333
47.4739,4127.0,18,2,충정로(경기대입구)역,570.352209953056,100,1192.3,1,2,3,0,39,20,55,4,201.7103826031684,22.29895833333333
17.04,1000.0,70,6,충정로(경기대입구)역,169.5458754048524,129,1192.3,10,4,16,0,90,31,86,5,152.21828755716365,71.04166666666667
84.89,40000.0,130,17,신설동역,533.615752338311,40,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,171.66666666666666
113.46,20000.0,213,11,회현(남대문시장)역,310.7749620679906,333,1192.3,27,7,12,5,163,48,118,11,85.65990388873333,233.83333333333334
84.97,3000.0,180,18,신설동역,533.615752338311,40,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,183.125
84.9918,5000.0,50,13,충정로(경기대입구)역,546.5467807347819,101,1188.9,1,2,4,0,47,20,55,4,161.22384425777142,55.208333333333336
59.91,20000.0,75,26,신설동역,533.615752338311,40,1188.9,3,1,1,3,21,7,4,23,99.42774589932525,95.83333333333333
59.95,50000.0,50,13,신당역,524.9534945478343,88,1188.9,7,0,1,0,44,15,23,27,264.0077328980435,102.08333333333334
18.35,1000.0,50,9,신당역,462.5655163555446,106,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,51.041666666666664
21.04,1000.0,90,6,충무로역,399.4739356787322,226,1191.8,17,7,15,1,117,36,52,32,166.95499565803877,91.04166666666667
19.15,1000.0,55,6,신당역,462.5655163555446,106,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,56.041666666666664
24.2,1000.0,65,5,동대문역사문화공원역,356.66310340976054,272,1191.8,25,4,8,3,91,35,49,30,133.71080905767624,66.04166666666667
84.87999999999998,20000.0,140,10,버티고개역,153.7732236879109,27,1191.8,10,1,0,1,30,13,28,6,38.78579684636771,160.83333333333334
84.95,65000.0,27,4,청구역,148.0705761514984,96,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,94.70833333333333
118.47,10000.0,300,11,청구역,148.0705761514984,96,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,310.4166666666667
114.92,60000.0,100,1,신금호역,358.1312622656157,4,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,162.5
116.11,1000.0,347,26,서울역,300.40511873242406,54,1190.4,8,5,9,0,115,37,95,8,83.49973589710727,348.0416666666667
13.8874,7000.0,50,7,시청역,300.9137610337463,514,1190.4,33,13,37,1,143,42,101,11,230.68420809566103,57.291666666666664
84.87999999999998,10000.0,145,4,신금호역,358.1312622656157,4,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,155.41666666666666
57.63,10000.0,105,8,신금호역,358.1312622656157,4,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,115.41666666666667
71.9832,5000.0,200,12,서울역,376.5303456813306,89,1190.4,2,2,5,0,67,24,65,4,37.0031250698845,205.20833333333334
59.94,30000.0,80,2,버티고개역,153.7732236879109,27,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,111.25
84.87999999999998,50000.0,100,10,버티고개역,153.7732236879109,27,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,152.08333333333334
13.51,1000.0,60,7,동대입구역,173.3487208435671,123,1190.4,16,6,13,5,87,29,50,29,101.49308138878293,61.041666666666664
15.12,1000.0,64,2,충정로(경기대입구)역,169.5458754048524,129,1190.4,10,4,16,0,90,31,86,5,152.21828755716365,65.04166666666667
59.943,40000.0,150,13,충정로(경기대입구)역,546.5467807347819,101,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,191.66666666666666
24.96,1000.0,90,11,신당역,58.061356897640906,140,1193.6,10,5,0,10,43,14,17,31,187.3336720760136,91.04166666666667
18.08,3000.0,55,5,신당역,335.5910715414943,76,1193.6,8,0,1,1,24,8,4,23,71.16580967699376,58.125
59.943,40000.0,150,13,충정로(경기대입구)역,546.5467807347819,101,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,191.66666666666666
73.86,10000.0,140,10,서울역,300.47515523891445,91,1193.6,2,2,10,0,69,27,69,4,106.44698287229602,150.41666666666666
84.87999999999998,5000.0,180,11,신금호역,358.1312622656157,4,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,185.20833333333334
84.95999999999998,40000.0,120,5,청구역,148.0705761514984,96,1194.2,4,1,1,0,63,20,29,31,70.23484133934264,161.66666666666666
84.878,5000.0,280,22,충정로(경기대입구)역,361.7916452355358,217,1194.2,14,4,17,0,120,35,90,8,23.8510160033185,285.2083333333333
84.87999999999998,20000.0,128,6,신금호역,358.1312622656157,4,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,148.83333333333334
71.9832,30000.0,165,2,서울역,376.5303456813306,89,1194.2,2,2,5,0,67,24,65,4,37.0031250698845,196.25
13.12,1000.0,60,3,동대입구역,173.3487208435671,123,1197.8,16,6,13,5,87,29,50,29,101.49308138878293,61.041666666666664
59.94,3000.0,154,31,신설동역,533.615752338311,40,1197.8,3,1,1,3,21,7,4,23,99.42774589932525,157.125
32.76,2955.0,6,17,버티고개역,153.7732236879109,27,1197.8,10,1,0,1,30,13,28,6,38.78579684636771,9.078125
84.9728,15000.0,250,4,서울역,376.5303456813306,89,1197.8,2,2,5,0,67,24,65,4,37.0031250698845,265.625
84.98,57000.0,7,14,신당역,524.9534945478343,88,1197.8,7,0,1,0,44,15,23,27,264.0077328980435,66.375
27.27,2150.0,5,5,상왕십리역,329.285131747168,1,1197.8,3,0,0,0,18,7,4,16,155.76315185597636,7.239583333333334
