상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 퇴계로45길 22-24 1층 (충무로5가)	꼬꼬드릴로(CoCoDrilo)	커피숍	199967.5873	451254.0455	37.56356681	126.997531
영업	서울특별시 중구 서소문로 115 한산빌딩 1층 105호 (서소문동)	더샌드위치샵	패스트푸드	197591.8385	451245.2434	37.56348419	126.9706412
영업	서울특별시 중구 남대문로 81 본관 3층 (소공동)	보난자 커피 명동	커피숍	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 다산로28길 34-3 1층 (신당동)	카페 0709(Cafe 0709)	커피숍	201276.4638	450754.3457	37.55906377	127.0123447
영업	서울특별시 중구 퇴계로 289 1층 (쌍림동)	씨유 광희중앙점	편의점	200281.4128	451278.3054	37.56378536	127.0010831
영업	서울특별시 중구 다산로 265 3층 (흥인동)	차과과(CHAGUOGUO)	커피숍	201333.0518	451598.4797	37.56666925	127.0129866
영업	서울특별시 중구 퇴계로8길 70 2층 (회현동1가)	마빈박(Marvin Park)	커피숍	198189.17	450479.9725	37.55659059	126.9774041
영업	서울특별시 중구 남대문로 81 지하1층 (소공동)	소년의행성	기타 휴게음식점	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 을지로 지하 279 지하1층 205-105호 (을지로7가)	호두붐 동대문역사문화공원	철도역구내	200686.789	451499.116	37.56577466	127.0056715
영업	서울특별시 중구 을지로 지하 42 지하1층 202-108호 (을지로1가)	호두붐 을지로입구	철도역구내	198347.5447	451530.7978	37.56605872	126.979194
영업	서울특별시 중구 삼일대로 299 지하1층 (충무로2가)	컴포즈커피 명동이화점	커피숍	198911.8064	451032.3161	37.56156833	126.9855816
영업	서울특별시 중구 필동로8길 77 지하2층 (예장동)	카페천국 중구하센호텔점	커피숍	199329.7852	450473.2728	37.55653184	126.9903129
영업	서울특별시 중구 덕수궁길 61 1층 (서소문동)	세마카페	커피숍	197672.2135	451336.7184	37.56430858	126.9715506
영업	서울특별시 중구 동호로 330 6층 (쌍림동)	씨제이프레시웨이(주) 모닝해즈쌍림6층점	커피숍	200219.374	451288.3879	37.56387622	127.0003809
영업	서울특별시 중구 세종대로9길 20 대경빌딩 신한은행 본점 15층 (태평로2가)	카페 스윗	커피숍	197699.3963	450972.8038	37.56102982	126.9718595
영업	서울특별시 중구 수표로 32-1 1층 (저동2가)	컴포즈커피(중구저동점)	커피숍	199075.3004	451301.7365	37.56399597	126.9874317
영업	서울특별시 중구 만리재로37길 3 2층 201호 (만리동1가)	스토랑트서울만리점	커피숍	197119.5621	450461.0797	37.55641757	126.9652989
영업	서울특별시 중구 남대문로 81 롯데백화점 본점 지하1층 (소공동)	서월식	일반조리판매	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 명동8가길 22 1층 (충무로2가)	GS25 명동IB	편의점	198713.4829	451033.4708	37.56157847	126.9833369
영업	서울특별시 중구 청계천로 400 지하2층 (황학동 롯데캐슬베네치아)	장충동왕족발	일반조리판매	201823.909	452076.8187	37.57097822	127.0185437
영업	서울특별시 중구 다산로 181 102호 (신당동)	스마일꽈배기	일반조리판매	201092.741	450817.5059	37.55963306	127.0102654
영업	서울특별시 중구 퇴계로 지하 431-1 신당역 2호선 206-101호 (신당동)	호두당 신당역점	기타 휴게음식점	201703.2615	451461.3053	37.56543274	127.0171767
영업	서울특별시 중구 남대문로 81 롯데백화점 본점 지하1층 (소공동)	모모야 롯데백화점본점	일반조리판매	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 만리재로 197 1층 (만리동1가)	어이어	커피숍	197071.0792	450345.6804	37.55537768	126.9647507
영업	서울특별시 중구 세종대로4길 25 지하1층 102호 (남대문로5가)	메머드익스프레스 서울역 이프라자점	커피숍	197747.7782	450625.7642	37.55790315	126.9724082
영업	서울특별시 중구 다산로 124 1층 (신당동)	메가엠지씨커피 약수역점	커피숍	200902.7135	450287.5654	37.55485854	127.0081141
영업	서울특별시 중구 동호로20길 34-57 1층지하1층 (신당동)	펄시(P3R:C)	커피숍	200781.1532	450783.4573	37.55932658	127.0067389
영업	서울특별시 중구 다산로36가길 22 1층 (신당동)	지니커피(JINI COFFEE)	커피숍	201678.806	450990.1879	37.56118807	127.0168988
영업	서울특별시 중구 충무로 17 1층 (충무로3가)	씨유 충무로티마크점	편의점	199301.7995	451171.4689	37.56282249	126.9899954
영업	서울특별시 중구 소공로 63 신세계백화점 지하1층 (충무로1가)	키쉬 미뇽	백화점	198263.9084	450960.763	37.56092261	126.9782487
영업	서울특별시 중구 난계로17길 9-7 엘씨티33 1층 101호 (황학동)	블루(Blue)	기타 휴게음식점	201965.2609	451875.3791	37.569163	127.0201433
영업	서울특별시 중구 퇴계로73가길 46 1층 (신당동)	컴포즈커피 동대문쇼핑몰점	커피숍	201137.189	451642.2622	37.56706398	127.0107697
영업	서울특별시 중구 칠패로 27 순화동더샵 지하1층 B103A호 (순화동)	커피코트 순화동더샵점	커피숍	197462.1988	450878.2118	37.56017692	126.9691752
영업	서울특별시 중구 한강대로 405 롯데마트 서울역점 2층 (봉래동2가)	빠삭 돈카츠	일반조리판매	197230.2061	450446.6844	37.55628822	126.9665512
영업	서울특별시 중구 다산로46길 17 1층 103호 (흥인동)	카페아에 동대문점	커피숍	201442.039	451619.8455	37.5668616	127.0142203
영업	서울특별시 중구 남대문로 81 롯데백화점 본점 지하1층 (소공동)	소금다방	커피숍	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 세종대로5길 22 1층 (봉래동1가)	씨유 남대문YG타워점	편의점	197535.5461	450745.8083	37.55898418	126.9700058
영업	서울특별시 중구 명동3길 23 1~4층 (을지로2가)	할리스 을지로입구점	커피숍	198466.1598	451386.679	37.56476044	126.9805369
영업	서울특별시 중구 필동로8길 50-16 1층 (예장동)	세븐일레븐 중구예장점	편의점	199442.4635	450413.8977	37.55599696	126.9915882
영업	서울특별시 중구 퇴계로 301 1층 101호 (쌍림동)	스타분식	일반조리판매	200385.9858	451300.0891	37.5639816	127.0022667
